Zip Code,# of Properties,Finance FY'2017 Market Value Total,Average Market Value,Finance FY'2017 Assessed Value Land,Finance FY'2017 Assessed Value Total,Average Assessed Value,Finance FY'2017 Exempt Value Land,Finance FY'2017 Exempt Value Total,"Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),FY'2017 Median Effective Tax Rate,"FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",FY'2017 Median Actual Assessment Ratio,FY'2017 Taxes w/out Exemptions,FY'2017 Average Taxes w/out Exemptions,FY'2017 Average Effective Tax Rate w/out Exemptions,FY'2017 Median Effective Tax Rate w/out Exemption,,,,,,,,,,
10001,19 ,"$129,619,000 ","$6,822,053 ","$1,542,155 ","$2,699,429 ","$142,075 ","$4,650 ","$4,650 ","$2,694,779 ","$538,713 ",0.42%,0.41%,2.08%,2.07%,"539,643 ","$28,402 ",0.42%,0.41%,,,,,,,,,,
10002,99 ,"$234,359,873 ","$2,367,271 ","$1,614,510 ","$4,494,374 ","$45,398 ","$196,933 ","$351,862 ","$4,142,512 ","$828,130 ",0.35%,0.44%,1.92%,2.41%,"898,470 ","$9,075 ",0.38%,0.48%,,,,,,,,,,
10003,192 ,"$1,364,405,310 ","$7,106,278 ","$14,019,743 ","$33,307,160 ","$173,475 ","$298,995 ","$617,138 ","$32,690,022 ","$6,535,062 ",0.48%,0.46%,2.44%,2.35%,"6,658,434 ","$34,679 ",0.49%,0.47%,,,,,,,,,,
10007,4 ,"$29,586,000 ","$7,396,500 ","$363,700 ","$873,810 ","$218,453 ",$0 ,$0 ,"$873,810 ","$174,683 ",0.59%,0.54%,2.95%,2.71%,"174,683 ","$43,671 ",0.59%,0.54%,,,,,,,,,,
10009,55 ,"$274,333,293 ","$4,987,878 ","$1,356,546 ","$2,975,507 ","$54,100 ","$41,947 ","$41,947 ","$2,933,560 ","$586,448 ",0.21%,0.22%,1.08%,1.10%,"594,834 ","$10,815 ",0.22%,0.22%,,,,,,,,,,
10010,22 ,"$118,369,000 ","$5,380,409 ","$2,062,795 ","$3,561,951 ","$161,907 ","$15,270 ","$15,270 ","$3,546,681 ","$709,017 ",0.60%,0.57%,3.01%,2.87%,"712,070 ","$32,367 ",0.60%,0.57%,,,,,,,,,,
10011,397 ,"$3,334,980,498 ","$8,400,455 ","$27,164,475 ","$74,155,561 ","$186,790 ","$441,958 ","$819,725 ","$73,335,836 ","$14,660,567 ",0.44%,0.42%,2.22%,2.11%,"14,824,438 ","$37,341 ",0.44%,0.42%,,,,,,,,,,
10012,81 ,"$562,743,695 ","$6,947,453 ","$4,415,884 ","$13,341,244 ","$164,707 ","$160,788 ","$297,264 ","$13,043,980 ","$2,607,622 ",0.46%,0.42%,2.37%,2.23%,"2,667,048 ","$32,927 ",0.47%,0.45%,,,,,,,,,,
10013,107 ,"$615,977,985 ","$5,756,804 ","$6,724,554 ","$15,452,514 ","$144,416 ","$25,080 ","$25,080 ","$15,427,434 ","$3,084,098 ",0.50%,0.50%,2.51%,2.51%,"3,089,112 ","$28,870 ",0.50%,0.50%,,,,,,,,,,
10014,658 ,"$5,468,459,437 ","$8,310,729 ","$37,732,470 ","$110,693,153 ","$168,227 ","$709,082 ","$1,508,513 ","$109,184,640 ","$21,827,101 ",0.40%,0.39%,2.02%,1.94%,"22,128,668 ","$33,630 ",0.40%,0.39%,,,,,,,,,,
10016,155 ,"$788,063,050 ","$5,084,278 ","$16,561,394 ","$28,368,315 ","$183,021 ","$745,672 ","$1,095,058 ","$27,273,257 ","$5,452,197 ",0.69%,0.74%,3.60%,3.74%,"5,671,110 ","$36,588 ",0.72%,0.75%,,,,,,,,,,
10017,40 ,"$276,933,000 ","$6,923,325 ","$4,265,901 ","$9,653,051 ","$241,326 ","$479,860 ","$939,655 ","$8,713,396 ","$1,741,895 ",0.63%,0.69%,3.49%,3.52%,"1,929,741 ","$48,244 ",0.70%,0.70%,,,,,,,,,,
10018,4 ,"$27,033,000 ","$6,758,250 ","$194,586 ","$465,179 ","$116,295 ","$3,380 ","$3,380 ","$461,799 ","$92,318 ",0.34%,0.32%,1.72%,1.63%,"92,994 ","$23,248 ",0.34%,0.33%,,,,,,,,,,
10019,16 ,"$81,015,000 ","$5,063,438 ","$963,212 ","$2,249,727 ","$140,608 ","$11,370 ","$11,370 ","$2,238,357 ","$447,470 ",0.55%,0.56%,2.78%,2.79%,"449,743 ","$28,109 ",0.56%,0.56%,,,,,,,,,,
10021,307 ,"$4,827,850,987 ","$15,725,899 ","$54,662,770 ","$138,998,148 ","$452,763 ","$4,837,482 ","$13,771,267 ","$125,226,881 ","$25,034,106 ",0.52%,0.57%,2.88%,2.98%,"27,787,120 ","$90,512 ",0.58%,0.60%,,,,,,,,,,
10022,110 ,"$797,448,719 ","$7,249,534 ","$16,243,492 ","$32,386,922 ","$294,427 ","$2,238,881 ","$3,958,826 ","$28,428,096 ","$5,683,061 ",0.71%,0.78%,4.06%,4.13%,"6,474,470 ","$58,859 ",0.81%,0.83%,,,,,,,,,,
10023,123 ,"$1,446,121,413 ","$11,757,085 ","$12,315,016 ","$33,209,446 ","$269,995 ","$140,115 ","$147,482 ","$33,061,964 ","$6,609,417 ",0.46%,0.43%,2.30%,2.20%,"6,638,900 ","$53,975 ",0.46%,0.44%,,,,,,,,,,
10024,302 ,"$2,347,511,495 ","$7,773,217 ","$27,085,545 ","$59,353,542 ","$196,535 ","$379,094 ","$677,507 ","$58,676,035 ","$11,729,926 ",0.50%,0.47%,2.53%,2.33%,"11,865,367 ","$39,289 ",0.51%,0.47%,,,,,,,,,,
10025,173 ,"$988,281,951 ","$5,712,612 ","$8,928,355 ","$20,386,092 ","$117,839 ","$101,953 ","$101,953 ","$20,284,139 ","$4,055,002 ",0.41%,0.38%,2.06%,1.91%,"4,075,384 ","$23,557 ",0.41%,0.38%,,,,,,,,,,
10026,209 ,"$455,585,493 ","$2,179,835 ","$2,459,161 ","$8,253,502 ","$39,490 ","$231,650 ","$1,583,074 ","$6,670,428 ","$1,333,485 ",0.29%,0.30%,1.81%,1.89%,"1,649,958 ","$7,895 ",0.36%,0.38%,,,,,,,,,,
10027,592 ,"$1,176,461,349 ","$1,987,266 ","$6,999,869 ","$24,547,401 ","$41,465 ","$593,869 ","$3,968,311 ","$20,579,090 ","$4,113,966 ",0.35%,0.30%,2.09%,2.04%,"4,907,271 ","$8,289 ",0.42%,0.41%,,,,,,,,,,
10028,201 ,"$2,029,800,039 ","$10,098,508 ","$24,796,674 ","$59,894,871 ","$297,984 ","$1,479,308 ","$2,666,905 ","$57,227,966 ","$11,440,443 ",0.56%,0.54%,2.95%,2.74%,"11,973,584 ","$59,570 ",0.59%,0.55%,,,,,,,,,,
10029,124 ,"$191,199,388 ","$1,541,931 ","$1,714,502 ","$4,123,983 ","$33,258 ","$110,707 ","$268,508 ","$3,855,475 ","$770,748 ",0.40%,0.36%,2.16%,1.86%,"824,425 ","$6,649 ",0.43%,0.37%,,,,,,,,,,
10030,325 ,"$511,548,324 ","$1,573,995 ","$3,881,876 ","$11,083,343 ","$34,103 ","$505,341 ","$1,446,278 ","$9,637,065 ","$1,926,546 ",0.38%,0.33%,2.17%,1.93%,"2,215,671 ","$6,817 ",0.43%,0.39%,,,,,,,,,,
10031,466 ,"$863,835,111 ","$1,853,723 ","$4,981,068 ","$15,383,666 ","$33,012 ","$463,536 ","$1,038,526 ","$14,345,140 ","$2,867,737 ",0.33%,0.32%,1.78%,1.66%,"3,075,349 ","$6,599 ",0.36%,0.33%,,,,,,,,,,
