zip,hotel_count,total_ft_sq
10001,14,3708953
10002,2,179858
10003,3,364817
10005,1,100000
10006,1,329999
10007,1,78426
10010,1,56832
10011,4,444693
10012,1,56000
10013,7,980049
10014,4,579410
10016,18,1868118
10017,10,3550703
10018,17,1725292
10019,22,8121610
10021,2,228582
10022,14,5010514
10023,5,1250358
10024,5,622896
10025,4,474614
10036,24,6531471
10038,2,121539
10065,7,1423003
10280,1,509831
10282,1,569349
10314,1,74107
11101,2,127823
11201,4,560311
11219,1,53700
11233,1,65125
11249,1,56635
11354,1,193975
11356,1,63063
11368,1,141229
11369,4,981091
11430,2,165880
11434,2,140827
11436,2,255873
