ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10001,1471,780125048,4538886185,290671105,1658138801,81524077,686730527,320717141,1922824968,0.4236,0.45,94909401,795027433,20230,19842,8643407,29555835,963988316,124277374,0.0274,0.0463,247890595,0.0546,0.058,228751,154,96907,65,12493,8.39,19,129619000,6822053,1542155,2699429,142075,4650,4650,2694779,538713,0.0042,0.0041,0.0208,0.0207,539643,28402,0.0042,0.0041
10002,2480,1119441624,4725893887,433821548,1705825116,194114612,763757475,449310179,1983026564,0.4196,0.45,196721477,875298130,38109,36390,312106571,38324321,941393101,121364399,0.0257,0.0451,255651785,0.0541,0.058,129868,123,54494,52,7025,6.67,99,234359873,2367271,1614510,4494374,45398,196933,351862,4142512,828130,0.0035,0.0044,0.0192,0.0241,898470,9075,0.0038,0.0048
10003,3735,1598012608,8310198962,521608957,2700093121,33872345,198475327,537001788,3135021435,0.3772,0.45,34665632,232396375,33597,32181,61816633,37270262,2498831015,322149294,0.0388,0.0474,404166963,0.0486,0.058,258233,223,97418,84,12559,10.84,192,1364405310,7106278,14019743,33307160,173475,298995,617138,32690022,6535062,0.0048,0.0046,0.0244,0.0235,6658434,34679,0.0049,0.0047
10004,833,86698487,644247080,33694636,239754510,326200,48617039,33694659,266505140,0.4137,0.45,328349,51090124,2079,2046,394690,9062172,191013700,24625486,0.0382,0.0325,34357843,0.0533,0.058,314881,71,130257,29,16793,3.79,4,29586000,7396500,363700,873810,218453,0,0,873810,174683,0.0059,0.0054,0.0295,0.0271,174683,43671,0.0059,0.0054
10005,1650,371514875,1650726876,166694449,648149892,4251656,143404591,166694449,738072628,0.4471,0.45,4252110,146641252,5927,5880,504716,11467294,504744165,65071618,0.0394,0.0335,95152323,0.0576,0.058,280736,144,125523,64,16182,8.3,55,274333293,4987878,1356546,2975507,54100,41947,41947,2933560,586448,0.0021,0.0022,0.0108,0.011,594834,10815,0.0022,0.0022
10006,826,101857514,588687966,45183106,225926524,275650,28342340,45076938,263051395,0.4468,0.45,275650,29812845,2722,2692,323695,5985770,197584184,25472553,0.0433,0.0501,33912586,0.0576,0.058,218681,98,97716,44,12598,5.67,22,118369000,5380409,2062795,3561951,161907,15270,15270,3546681,709017,0.006,0.0057,0.0301,0.0287,712070,32367,0.006,0.0057
10007,1839,268915290,1683011931,108061600,660503121,3735539,122876203,109410549,713241541,0.4238,0.45,3967477,138529962,4196,4039,7638825,13445556,515779777,66494329,0.0395,0.0452,91951099,0.0546,0.058,416690,125,176589,53,22766,6.84,397,3334980498,8400455,27164475,74155561,186790,441958,819725,73335836,14660567,0.0044,0.0042,0.0222,0.0211,14824438,37341,0.0044,0.0042
10009,1898,1207190664,5835476144,447809048,1850685006,137400763,525438213,449011850,2264977748,0.3881,0.45,137626814,645693880,36861,35895,10305660,32564643,1324009544,170691310,0.0293,0.0372,292000931,0.05,0.058,162571,179,63100,70,8135,8.97,81,562743695,6947453,4415884,13341244,164707,160788,297264,13043980,2607622,0.0046,0.0042,0.0237,0.0223,2667048,32927,0.0047,0.0045
10010,2806,777864519,4503620195,318439088,1627932701,70903783,371558022,320059519,1890810974,0.4198,0.45,70794049,441158999,17421,16978,4249120,25333202,1255103862,161807990,0.0359,0.0471,243763351,0.0541,0.058,265262,178,111368,75,14358,9.62,107,615977985,5756804,6724554,15452514,144416,25080,25080,15427434,3084098,0.005,0.005,0.0251,0.0251,3089112,28870,0.005,0.005
10011,6469,1658433031,9423761973,560196022,3160000320,45974858,443607317,571520344,3632112779,0.3854,0.45,46894794,527566593,35548,34492,20682147,45709673,2715577779,350092287,0.0371,0.0458,468251979,0.0497,0.058,273216,206,105303,79,13576,10.24,658,5468459437,8310729,37732470,110693153,168227,709082,1508513,109184640,21827101,0.004,0.0039,0.0202,0.0194,22128668,33630,0.004,0.0039
10012,2156,826304104,4555806259,216973667,1266938225,10153977,95526898,220716079,1474541338,0.3237,0.45,10328336,109341266,14169,13155,6627811,19165067,1170966042,150960942,0.0331,0.0455,190097869,0.0417,0.058,346317,238,112090,77,14451,9.92,155,788063050,5084278,16561394,28368315,183021,745672,1095058,27273257,5452197,0.0069,0.0074,0.036,0.0374,5671110,36588,0.0072,0.0075
10013,5123,1032575281,5691142670,323587511,1806649677,18826954,206106862,324909395,2042031482,0.3588,0.45,19675597,240572659,16527,15291,15418451,34913855,1599544372,206213260,0.0362,0.0463,263258699,0.0463,0.058,372189,163,133545,58,17217,7.54,40,276933000,6923325,4265901,9653051,241326,479860,939655,8713396,1741895,0.0063,0.0069,0.0349,0.0352,1929741,48244,0.007,0.007
10014,3333,1355480874,5586197223,466615086,1829677375,48962343,191486483,466903427,2116801296,0.3789,0.45,49061256,221154092,22282,21459,12458139,23751717,1637634154,211123795,0.0378,0.0474,272898023,0.0489,0.058,260320,235,98644,89,12717,11.49,4,27033000,6758250,194586,465179,116295,3380,3380,461799,92318,0.0034,0.0032,0.0172,0.0163,92994,23248,0.0034,0.0033
10016,8557,1831954111,8985976855,713973716,3304885801,52621789,311576814,728027964,3722731158,0.4143,0.45,59884594,349265437,39993,38835,47930259,50244664,2992633047,385810252,0.0429,0.051,479934501,0.0534,0.058,231389,179,95860,74,12358,9.55,16,81015000,5063438,963212,2249727,140608,11370,11370,2238357,447470,0.0055,0.0056,0.0278,0.0279,449743,28109,0.0056,0.0056
10017,3338,640454871,2975810094,274110480,1173766947,14151108,67832078,278265518,1317219229,0.4426,0.45,14774664,75274511,13112,12879,15578964,24646884,1105934869,142577123,0.0479,0.0508,169815903,0.0571,0.058,231059,121,102277,53,13185,6.89,307,4827850987,15725899,54662770,138998148,452763,4837482,13771267,125226881,25034106,0.0052,0.0057,0.0288,0.0298,27787120,90512,0.0058,0.006
10018,524,283541337,1669010233,107140920,629992665,42245254,335933875,113411991,701385344,0.4202,0.45,43686158,366103266,7345,7083,3931917,11673750,293963670,37897796,0.0227,0.0285,90422599,0.0542,0.058,235636,143,99024,60,12766,7.75,110,797448719,7249534,16243492,32386922,294427,2238881,3958826,28428096,5683061,0.0071,0.0078,0.0406,0.0413,6474470,58859,0.0081,0.0083
10019,8467,2117477443,9107293202,862407962,3378861012,76252550,700614980,893303741,3909721333,0.4293,0.45,79864967,800289702,40550,39619,88516765,64398438,2673446660,344660743,0.0378,0.0497,504041274,0.0553,0.058,229872,141,98683,61,12722,7.83,123,1446121413,11757085,12315016,33209446,269995,140115,147482,33061964,6609417,0.0046,0.0043,0.023,0.022,6638900,53975,0.0046,0.0044
10020,2,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,205972,5164103,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,302,2347511495,7773217,27085545,59353542,196535,379094,677507,58676035,11729926,0.005,0.0047,0.0253,0.0233,11865367,39289,0.0051,0.0047
